RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
2627478021	207002009	246090004	267037003	0	1	1
1898354021	528006	272741003	182353008	1	2	0
2783980027	119287009	405813007	14742008	0	1	1
1738837021	274025005	260686004	129304002	0	1	1
1297816021	108216008	260870009	272125009	1	2	0
655710029	300479008	363698007	71934003	0	1	0
343831021	271896000	116680003	271880003	0	0	0
2221368022	256423008	116680003	386045008	0	0	0
1259678027	75924001	260870009	272125009	1	2	0
178549020	361922007	116680003	91690000	0	0	0
2222510020	279973004	116680003	118971007	0	0	0
3094785025	75325006	405814001	89837001	0	1	2
1138358026	1201005	246112005	272141005	1	2	0
1209859023	45211000	260507000	309795001	1	2	0
722525023	362701005	123005000	262225004	3	0	0
1727058020	233604007	116676008	23583003	0	1	1
2639118022	394900008	363701004	410942007	0	1	1
671713021	119190009	123005000	182046008	3	0	0
2955708023	21957007	149016008	421961002	2	0	0
2940658028	420893000	116680003	28347008	0	0	0
1950497021	239516002	116680003	243120004	0	0	0
3217551029	239739005	116680003	428724006	0	0	0
2029300028	41216001	123005000	118760003	3	0	0
136203026	119198002	116680003	91717005	0	0	0
1917776023	119383005	118169006	10200004	0	1	0
2007689021	384628002	363700003	49755003	0	1	1
1309759029	118837004	260870009	272125009	1	2	0
2798965023	122549002	149016008	417746004	2	0	0
276480024	79007002	116680003	312435005	0	0	0
228727029	49596003	116680003	113343008	0	0	0
1813137026	371571005	260686004	360037004	0	1	1
1663752027	300847008	116680003	363662004	0	0	0
156627029	123946008	116680003	64572001	0	0	0
697556028	128395003	260686004	129303008	0	1	1
2043765022	80050006	260686004	129314006	0	1	1
90694025	272142003	116680003	255590007	0	0	0
1713822028	373858009	116680003	373856008	0	0	0
2941074026	127072000	116680003	363662004	0	0	0
1922203024	129336009	116680003	363664003	0	0	0
2481040023	300848003	116676008	4147007	0	1	1
