variant|text
hyperhydroxyprolinaemia|hyperhydroxyprolinemia
hyperimmunoglobulinaemia|hyperimmunoglobulinemia
hyperinsulinaemia|hyperinsulinemia
hyperkalaemia|hyperkalemia
hyperlipidaemia|hyperlipidemia
hyperlipoproteinaemia|hyperlipoproteinemia
hyperlysinaemia|hyperlysinemia
hypermagnesaemia|hypermagnesemia
hypermenorrhoea|hypermenorrhea
hypermethioninaemia|hypermethioninemia
hypernatraemia|hypernatremia
hyperoestrogenism|hyperestrogenism
hyperornithinaemia|hyperornithinemia
hyperphenylalaninaemia|hyperphenylalaninemia
hyperphenylalanineaemia|hyperphenylalaninemia
hyperphosphataemia|hyperphosphatemia
hyperphosphatasaemia|hyperphosphatasemia
hyperpnoea|hyperpnea
hyperprolactinaemia|hyperprolactinemia
hyperprolinaemia|hyperprolinemia
hyperreninaemic|hyperreninemic
hypersarcosinaemia|hypersarcosinemia
hypersomatostatinaemia|hypersomatostatinemia
hyperthyroxinaemia|hyperthyroxinemia
hypertriglyceridaemia|hypertriglyceridemia
hypertyrosinaemia|hypertyrosinemia
hyperuricaemia|hyperuricemia
hypervalinaemia|hypervalinemia
hypervolaemia|hypervolemia
hyphaema|hyphema
hypoaesthesia|hypesthesia
hypoaesthesia|hypoesthesia
hypoalbuminaemia|hypoalbuminemia
hypoalphalipoproteinaemia|hypoalphalipoproteinemia
hypobetalipoproteinaemia|hypobetalipoproteinemia
hypocalcaemia|hypocalcemia
hypocalcaemic|hypocalcemic
hypochloraemia|hypochloremia
hypochloraemic|hypochloremic
hypocomplementaemic|hypocomplementemic
hypodysfibrinogenaemia|hypodysfibrinogenemia
hypofibrinogenaemia|hypofibrinogenemia
hypogammaglobulinaemia|hypogammaglobulinemia
hypogastrinaemia|hypogastrinemia
hypoglucagonaemia|hypoglucagonemia
hypoglycaemia|hypoglycemia
hypoglycaemic|hypoglycemic
hypoinsulinaemia|hypoinsulinemia
hypokalaemia|hypokalemia
hypokalaemic|hypokalemic
hypolipidaemia|hypolipidemia
hypolipoproteinaemia|hypolipoproteinemia
hypomagnesaemia|hypomagnesemia
hypomenorrhoea|hypomenorrhea
hypomineralisation|hypomineralization
hyponatraemia|hyponatremia
hypophosphataemia|hypophosphatemia
hypophosphataemic|hypophosphatemic
hypopnoea|hypopnea
hypopotassaemia|hypopotassemia
hypoprolactinaemia|hypoprolactinemia
hypoproteinaemia|hypoproteinemia
hypoprothrombinaemia|hypoprothrombinemia
hyporeninaemic|hyporeninemic
hyposensitisation|hyposensitization
hypothyrotropinaemia|hypothyrotropinemia
hypothyroxinaemia|hypothyroxinemia
hypouricaemia|hypouricemia
hypovolaemia|hypovolemia
hypovolaemic|hypovolemic
hypoxaemia|hypoxemia
ileocaecal|ileocecal
ileocaecum|ileocecum
immobilisation|immobilization
immunisations|immunizations
immunisation|immunization
impetiginisation|impetiginization
inflexion|inflection
institutionalised|institutionalized
internationalised|internationalized
iodised|iodized
ionised|ionized
ionising|ionizing
ischaemia|ischemia
ischaemic|ischemic
isocentre|isocenter
isohaemagglutinin|isohemagglutinin
isoimmunisation|isoimmunization
isoleucinaemia|isoleucinemia
jewellery|jewelry
jeweller|jeweler
keratinisation|keratinization
keratinising|keratinizing
ketoacidaemia|ketoacidemia
killogramme|kilogram
kilogramme|kilogram
kilometre|kilometer
labelled|labeled
labellers|labelers
labeller|labeler
labelling|labeling
laboured|labored
labourers|laborers
labourer|laborer
labour|labor
laevocardia|levocardia
laevorotation|levorotation
laevothyroxine|levothyroxine
laevoversion|levoversion
laevulose|levulose
laryngocoele|laryngocele
lateralisation|lateralization
leucorrhoea|leukorrhea
leukaemias|leukemias
leukaemia|leukemia
leukaemic|leukemic
leukaemoid|leukemoid
leukoencephalitis|leukencephalitis
leukorrhoea|leukorrhea
licence|license
lipaemia|lipemia
lipidaemia|lipidemia
lipoproteinaemia|lipoproteinemia
lipoprotinaemia|lipoprotinemia
liquorice|licorice
litre|liter
localisation|localization
localised|localized
louvre|louver
lustre|luster
luteinised|luteinized
luteinising|luteinizing
lymphocoele|lymphocele
lymphoedema|lymphedema
lymphoepithelioma|lymphepithelioma
lynoestrenol|lynestrenol
macroglobulinaemia|macroglobulinemia
mammillary|mamillary
mammillitis|mamillitis
manoeuvre|maneuver
marsupialisation|marsupialization
masculinised|masculinized
megaoesophagus|megaesophagus
melaena|melena
meningococcaemia|meningococcemia
meningocoele|meningocele
menorrhoea|menorrhea
mesocaecum|mesocecum
metacentre|metacenter
metastasising|metastasizing
methaemalbumin|methemalbumin
methaemoglobinaemia|methemoglobinemia
methaemoglobins|methemoglobins
methaemoglobin|methemoglobin
methioninaemia|methioninemia
methylsulphate|methylsulfate
metre|meter
microlitre|microliter
millilitre|milliliter
millimetre|millimeter
misdemeanour|misdemeanor
mobilisation|mobilization
mobilise|mobilize
mobilising|mobilizing
modelling|modeling
monosulphate|monosulfate
monosulphide|monosulfide
morphoea|morphea
mucocoele|mucocele
mucosulphatidosis|mucosulfatidosis
multicauterisation|multicauterization
myxoedematous|myxedematous
myxoedema|myxedema
naevi|nevi
naevocarcinoma|nevocarcinoma
naevocytic|nevocytic
naevoid|nevoid
naevoxanthoendothelioma|nevoxanthoendothelioma
naevus|nevus
nanometre|nanometer
nebulisation|nebulization
nebuliser|nebulizer
necrotising|necrotizing
neighbourhood|neighborhood
neighbours|neighbors
neighbour|neighbor
neovascularisation|neovascularization
neurilemmoma|neurilemoma
neurobehavioural|neurobehavioral
neuroenteric|neurenteric
neuroepithelial|neurepithelial
neuroischaemic|neuroischemic
neuronaevus|neuronevus
neutralisation|neutralization
neutralising|neutralizing
neutropaenia|neutropenia
neutropaenic|neutropenic
nonvisualisation|nonvisualization
normalised|normalized
normokalaemic|normokalemic
odourless|odorless
odourproof|odorproof
odours|odors
odour|odor
oedematous|edematous
oedema|edema
oesophageal|esophageal
oesophagectomy|esophagectomy
oesophagitis|esophagitis
oesophagobronchial|esophagobronchial
oesophagocoele|esophagocele
oesophagocoele|esophagocoele
oesophagoduodenal|esophagoduodenal
oesophagogastrectomy|esophagogastrectomy
oesophagogastric|esophagogastric
oesophagogastroduodenoscopy|esophagogastroduodenoscopy
oesophagogastroscopy|esophagogastroscopy
oesophagogastrostomy|esophagogastrostomy
oesophagojejunal|esophagojejunal
oesophagojejunostomy|esophagojejunostomy
oesophagomyotomy|esophagomyotomy
oesophagoscope|esophagoscope
oesophagoscopic|esophagoscopic
oesophagoscopy|esophagoscopy
oesophagospasm|esophagospasm
oesophagostomiasis|esophagostomiasis
oesophagostomy|esophagostomy
oesophagotracheal|esophagotracheal
oesophago|esophago
oesophagram|esophagram
oesophagus|esophagus
oesophaogastrostomy|esophaogastrostomy
oestradiol|estradiol
oestriol|estriol
oestrogens|estrogens
oestrogen|estrogen
oestrone|estrone
oligomenorrhoea|oligomenorrhea
omphalocoele|omphalocele
opsonisation|opsonization
organisation|organization
organised|organized
organising|organizing
ornithinaemia|ornithinemia
orthopaedic|orthopedic
orthopnoea|orthopnea
otorrhoea|otorrhea
outmanoeuvre|outmaneuver
oxidised|oxidized
oxyhaemoglobin|oxyhemoglobin
ozaena|ozena
paediatrician|pediatrician
paediatric|pediatric
paediatrics|pediatrics
paedophilia|pedophilia
palaeography|paleography
palaeontologist|paleontologist
palaeontology|paleontology
panelling|paneling
panellist|panelist
papilloedema|papilledema
paraesthesia|paresthesia
parahaemolyticus|parahemolyticus
paraoesophageal|paraesophageal
paraproteinaemia|paraproteinemia
penalisation|penalization
pericaecal|pericecal
perioesophageal|periesophageal
personalised|personalized
persulphate|persulfate
phaeochromoblastoma|pheochromoblastoma
phaeochromocytoma|pheochromocytoma
phaeohyphomycosis|pheohyphomycosis
phagedaena|phagedena
phagedaenic|phagedenic
pharyngolaryngooesophagectomy|pharyngolaryngoesophagectomy
phosphoenolpyruvate|phosphenolpyruvate
photosensitisation|photosensitization
phthallic|phthalic
phthalylsulphathiazole|phthalylsulfathiazole
phytohaemagglutinin|phytohemagglutinin
pickax|pickaxe
picosulphate|picosulfate
plough|plow
pneumathaemia|pneumathemia
pneumatocoele|pneumatocele
pneumoencephalography|pneumencephalography
polioencephalitis|poliencephalitis
pollicisation|pollicization
polycythaemia|polycythemia
polyethene|polyethylene
polymenorrhoea|polymenorrhea
polysulphide|polysulfide
postcatheterisation|postcatheterization
posthaemorrhagic|posthemorrhagic
postimmunisation|postimmunization
praevia|previa
prelabour|prelabor
premiss|premise
presbyoesophagus|presbyesophagus
pressurised|pressurized
programmes|programs
programme|program
pseudohyponatraemia|pseudohyponatremia
pseudoleukaemia|pseudoleukemia
pseudomeningocoele|pseudomeningocele
pseudopapilloedema|pseudopapilledema
pseudotumour|pseudotumor
psychoanalyse|psychoanalyze
pyaemia|pyemia
pyaemic|pyemic
pyorrhoea|pyorrhea
radiolabelled|radiolabeled
recanalisation|recanalization
recognise|recognize
rectocoele|rectocele
remodelled|remodeled
remodelling|remodeling
renegue|renege
retrocaecal|retrocecal
retroflexion|retroflection
revascularisation|revascularization
rhinorrhoea|rhinorrhea
salpingocoele|salpingocele
saltpetre|saltpeter
sarcosinaemia|sarcosinemia
saucerisation|saucerization
savoury|savory
scleromyxoedema|scleromyxedema
seborrhoea|seborrhea
seborrhoeica|seborrheica
seborrhoeic|seborrheic
sensitisation|sensitization
sensitised|sensitized
septicaemias|septicemias
septicaemia|septicemia
septicaemic|septicemic
sesquisulphide|sesquisulfide
sialorrhoea|sialorrhea
sitosterolaemia|sitosterolemia
snowplough|snowplow
socialisation|socialization
socialised|socialized
specialisation|specialization
specialised|specialized
spermatocoele|spermatocele
spiralled|spiraled
spirochaetal|spirochetal
spirochaetes|spirochetes
spirochaete|spirochete
stabilisation|stabilization
stabilised|stabilized
stabiliser|stabilizer
stabilising|stabilizing
standardised|standardized
steatorrhoea|steatorrhea
sterilisation|sterilization
sterilised|sterilized
steriliser|sterilizer
sterilise|sterilize
stilboestrol|stilbestrol
stilletto|stiletto
storeys|stories
storey|story
sulphacetamide|sulfacetamide
sulphadiazine|sulfadiazine
sulphadimethoxine|sulfadimethoxine
sulphadimidine|sulfadimidine
sulphaemoglobin|sulfaemoglobin
sulphafurazole|sulfafurazole
sulphaguanidine|sulfaguanidine
sulphaloxate|sulfaloxate
sulphamethoxazole|sulfamethoxazole
sulphamezathine|sulfamezathine
sulphamidase|sulfamidase
sulphasalazine|sulfasalazine
sulphatase|sulfatase
sulphates|sulfates
sulphate|sulfate
sulphathiazole|sulfathiazole
sulphatide|sulfatide
sulphatriad|sulfatriad
sulphaurea|sulfaurea
sulphenamide|sulfenamide
sulphhaemoglobinaemia|sulfhemoglobinemia
sulphhaemoglobin|sulfhemoglobin
sulphide|sulfide
sulphinpyrazone|sulfinpyrazone
sulphite|sulfite
sulphocysteine|sulfocysteine
sulphocysteinuria|sulfocysteinuria
sulphomethate|sulfomethate
sulphonamides|sulfonamides
sulphonamide|sulfonamide
sulphonate|sulfonate
sulphone|sulfone
sulphonylurea|sulfonylurea
sulphosuccinate|sulfosuccinate
sulphoxide|sulfoxide
sulphuric|sulfuric
sulphur|sulfur
summarised|summarized
synchronised|synchronized
syringocoele|syringocele
systematised|systematized
tachypnoea|tachypnea
taeniamyotomy|teniamyotomy
taeniasis|teniasis
taenia|tenia
teetotaller|teetotaler
terminalisation|terminalization
tetrachloroethane|tetrachlorethane
thalassaemias|thalassemias
thalassaemia|thalassemia
thalium|thallium
theatre|theater
thiosulphate|thiosulfate
thiosulphatoaurate|thiosulfatoaurate
thrombocythaemia|thrombocythemia
thrombocytopaenia|thrombocytopenia
titre|titer
toluenesulphonamide|toluenesulfonamide
tonsilar|tonsillar
torticolis|torticollis
toxaemia|toxemia
tracheooesophageal|tracheoesophageal
tranquiliser|tranquilizer
tranquillisers|tranquilizers
tranquilliser|tranquilizer
tranquillizers|tranquilizers
tranquillizer|tranquilizer
transoesophageal|transesophageal
travellers|travelers
travelling|traveling
tricolour|tricolor
trophoedema|trophedema
tryptophanaemia|tryptophanemia
tularaemia|tularemia
tumours|tumors
tumour|tumor
tunnelled|tunneled
tunneller|tunneler
tunnelling|tunneling
tyre|tire
tyrosinaemia|tyrosinemia
undervirilisation|undervirilization
unflavoured|unflavored
unlabelled|unlabeled
unsocialised|unsocialized
unsynchronised|unsynchronized
uraemia|uremia
uraemic|uremic
ureterocoele|ureterocele
urethrocoele|urethrocele
urethrorrhoea|urethrorrhea
utilisation|utilization
valinaemia|valinemia
vaporisation|vaporization
vaporiser|vaporizer
vapours|vapors
vapour|vapor
varicocoele|varicocele
vascularisation|vascularization
vascularised|vascularized
victimising|victimizing
viraemia|viremia
virilisation|virilization
virilising|virilizing
vocalisation|vocalization
waggon|wagon
whisky|whiskey
woolly|wooly
wych-hazel|witch-hazel

